Trial_ID;ARM_ID;DV;NAME;UNIT;MEASURE;NSUB;VARTYPE;LOWER;UPPER;SOURCE;
CART_001;CART_001_1;1;R‐ISS disease stage III;N;N;4;;;;Table 1;
CART_001;CART_001_2;12;R‐ISS disease stage III;N;N;70;;;;Table 1;
CART_001;CART_001_3;8;R‐ISS disease stage III;N;N;54;;;;Table 1;
CART_001;CART_001_1;0;R‐ISS disease stage Unknown;N;N;4;;;;Table 1;
CART_001;CART_001_2;3;R‐ISS disease stage Unknown;N;N;70;;;;Table 1;
CART_001;CART_001_3;0;R‐ISS disease stage Unknown;N;N;54;;;;Table 1;
CART_001;CART_001_1;4;Bridging therapy, yes;N;N;4;;;;Table 1;
CART_001;CART_001_2;61;Bridging therapy, yes;N;N;70;;;;Table 1;
CART_001;CART_001_3;47;Bridging therapy, yes;N;N;54;;;;Table 1;
CART_001;CART_001_1;9;Prior antimyeloma regimens;N;median;4;range;4;12;Table 1;
CART_001;CART_001_2;6;Prior antimyeloma regimens;N;median;70;range;3;16;Table 1;
CART_001;CART_001_3;5;Prior antimyeloma regimens;N;median;54;range;3;13;Table 1;
CART_004;CART_004_1;54;Age;y;median;9;range;38;73;Table 1;
CART_004;CART_004_1;7;Male;N;N;9;;;;Table 1;
CART_004;CART_004_1;68;Weight;kg;median;9;range;49;89;Table 1;
CART_004;CART_004_1;5;ECOG performance‐status score 0;N;N;9;;;;Table 1;
CART_004;CART_004_1;3;ECOG performance‐status score 1;N;N;9;;;;Table 1;
CART_004;CART_004_1;0;ECOG performance‐status score 2;N;N;9;;;;Table 1;
CART_004;CART_004_1;3;High tumor burden, yes;N;N;9;;;;Table 1;
CART_004;CART_004_1;5;Extramedullary disease, yes;N;N;9;;;;Table 1;
CART_004;CART_004_1;3.6;Time since diagnosis;y;median;9;range;1;7.9;Table 1;
CART_004;CART_004_1;4;Prior antimyeloma regimens;N;median;9;range;3;15;Table 1;
CART_004;CART_004_1;78;Previous autologous HSCT, yes ;%;N;9;;;;Table 1;
CART_004;CART_004_1;22;R‐ISS disease stage I;%;N;9;;;;Table 1;
CART_004;CART_004_1;44;R‐ISS disease stage II;%;N;9;;;;Table 1;
CART_004;CART_004_1;22;R‐ISS disease stage III;%;N;9;;;;Table 1;
CART_004;CART_004_1;11;R‐ISS disease stage Unknown;%;N;9;;;;Table 1;
CART_004;CART_004_1;8;Bridging therapy, yes;N;N;9;;;;Table 1;
CART_011;CART_011_1;57;Age;y;median;21;range;37;74;Table 1;
CART_011;CART_011_5;64;Age;y;median;12;range;46;75;Table 1;
CART_011;CART_011_1;13;Male;N;N;21;;;;Table 1;
CART_011;CART_011_5;8;Male;N;N;12;;;;Table 1;
CART_011;CART_011_1;4;Time since diagnosis;y;median;21;range;1;16;Table 1;
CART_011;CART_011_5;6;Time since diagnosis;y;median;12;range;1;36;Table 1;
CART_011;CART_011_1;11;High tumor burden, yes;N;N;21;;;;Table 1;
CART_011;CART_011_5;5;High tumor burden, yes;N;N;12;;;;Table 1;
CART_011;CART_011_1;4;Extramedullary disease, yes;N;N;21;;;;Table 1;
CART_011;CART_011_5;5;Extramedullary disease, yes;N;N;12;;;;Table 1;
CART_011;CART_011_1;6;Disease stage I;N;N;21;;;;Table S3;
CART_011;CART_011_1;11;Disease stage II;N;N;21;;;;Table S3;
CART_011;CART_011_1;4;Disease stage III;N;N;21;;;;Table S3;
CART_011;CART_011_1;0;Disease stage Unknown;N;N;21;;;;Table S3;
CART_011;CART_011_5;1;Disease stage I;N;N;12;;;;Table S3;
CART_011;CART_011_5;3;Disease stage II;N;N;12;;;;Table S3;
CART_011;CART_011_5;4;Disease stage III;N;N;12;;;;Table S3;
CART_011;CART_011_5;4;Disease stage Unknown;N;N;12;;;;Table S3;
CART_011;CART_011_1;8;ECOG performance‐status score 0;N;N;21;;;;Table 1;
CART_011;CART_011_1;11;ECOG performance‐status score 1;N;N;21;;;;Table 1;
CART_011;CART_011_1;2;ECOG performance‐status score 2;N;N;21;;;;Table 1;
CART_011;CART_011_5;2;ECOG performance‐status score 0;N;N;12;;;;Table 1;
CART_011;CART_011_5;10;ECOG performance‐status score 1;N;N;12;;;;Table 1;
CART_011;CART_011_5;0;ECOG performance‐status score 2;N;N;12;;;;Table 1;
CART_011;CART_011_1;7;Bridging therapy, yes;N;N;21;;;;Table 1;
CART_011;CART_011_5;7;Bridging therapy, yes;N;N;12;;;;Table 1;
CART_011;CART_011_1;7;Prior antimyeloma regimens;N;median;21;range;3;14;Table 1;
CART_011;CART_011_5;8;Prior antimyeloma regimens;N;median;12;range;3;23;Table 1;
CART_011;CART_011_1;100;Previous autologous HSCT, yes ;%;N;21;;;;Table 1;
CART_011;CART_011_5;91;Previous autologous HSCT, yes ;%;N;12;;;;Table 1;
CART_024;CART_024_1;60.5;Age;y;median;4;range;54;72;Table 1;
CART_024;CART_024_2;64;Age;y;median;13;range;52;74;Table 1;
CART_024;CART_024_3;59.5;Age;y;median;14;range;45;71;Table 1;
CART_024;CART_024_1;2;Male;N;N;4;;;;Table 1;
CART_024;CART_024_2;7;Male;N;N;13;;;;Table 1;
CART_024;CART_024_3;8;Male;N;N;14;;;;Table 1;
CART_024;CART_024_1;3;ECOG performance‐status score 0;N;N;4;;;;Table 1;
CART_024;CART_024_2;5;ECOG performance‐status score 0;N;N;13;;;;Table 1;
CART_024;CART_024_3;11;ECOG performance‐status score 0;N;N;14;;;;Table 1;
CART_024;CART_024_1;1;ECOG performance‐status score 1;N;N;4;;;;Table 1;
CART_024;CART_024_2;8;ECOG performance‐status score 1;N;N;13;;;;Table 1;
CART_024;CART_024_3;3;ECOG performance‐status score 1;N;N;14;;;;Table 1;
CART_024;CART_024_1;0;R‐ISS disease stage I;N;N;4;;;;Table 1;
CART_024;CART_024_1;4;R‐ISS disease stage II;N;N;4;;;;Table 1;
CART_024;CART_024_1;0;R‐ISS disease stage III;N;N;4;;;;Table 1;
CART_024;CART_024_1;0;R‐ISS disease stage Unknown;N;N;4;;;;Table 1;
CART_024;CART_024_2;2;R‐ISS disease stage I;N;N;13;;;;Table 1;
CART_024;CART_024_2;9;R‐ISS disease stage II;N;N;13;;;;Table 1;
CART_024;CART_024_2;2;R‐ISS disease stage III;N;N;13;;;;Table 1;
CART_024;CART_024_2;0;R‐ISS disease stage Unknown;N;N;13;;;;Table 1;
CART_024;CART_024_3;2;R‐ISS disease stage I;N;N;14;;;;Table 1;
CART_024;CART_024_3;8;R‐ISS disease stage II;N;N;14;;;;Table 1;
CART_024;CART_024_3;3;R‐ISS disease stage III;N;N;14;;;;Table 1;
CART_024;CART_024_3;1;R‐ISS disease stage Unknown;N;N;14;;;;Table 1;
CART_024;CART_024_1;0;Extramedullary disease, yes;N;N;4;;;;Table 1;
CART_024;CART_024_2;1;Extramedullary disease, yes;N;N;13;;;;Table 1;
CART_024;CART_024_3;2;Extramedullary disease, yes;N;N;14;;;;Table 1;
CART_024;CART_024_1;0;Bridging therapy, yes;N;N;4;;;;Table 1;
CART_024;CART_024_2;3;Bridging therapy, yes;N;N;13;;;;Table 1;
CART_024;CART_024_3;4;Bridging therapy, yes;N;N;14;;;;Table 1;
CART_024;CART_024_1;50;Previous autologous HSCT, yes ;%;N;4;;;;Table 1;
CART_024;CART_024_2;7.7;Previous autologous HSCT, yes ;%;N;13;;;;Table 1;
CART_024;CART_024_3;28.5;Previous autologous HSCT, yes ;%;N;14;;;;Table 1;
CART_024;CART_024_1;7;Prior antimyeloma regimens;N;median;4;range;5;7;Table 1;
CART_024;CART_024_2;4;Prior antimyeloma regimens;N;median;13;range;2;13;Table 1;
CART_024;CART_024_3;4;Prior antimyeloma regimens;N;median;14;range;3;12;Table 1;
CART_009;CART_009_1;73;Age;y;median;6;range;66;75;Table 1;
CART_009;CART_009_2;60;Age;y;median;6;range;53;65;Table 1;
CART_009;CART_009_1;3;Male;N;N;6;;;;Table 1;
CART_009;CART_009_2;5;Male;N;N;6;;;;Table 1;
CART_009;CART_009_1;4;Extramedullary disease, yes;N;N;6;;;;Table 1;
CART_009;CART_009_2;3;Extramedullary disease, yes;N;N;6;;;;Table 1;
CART_009;CART_009_1;5;Prior lines of therapy;N;median;6;range;5;7;Table 1;
CART_009;CART_009_2;4;Prior lines of therapy;N;median;6;range;3;16;Table 1;
CART_009;CART_009_1;50;Previous autologous HSCT, yes ;%;N;6;;;;Table 1;
CART_009;CART_009_2;66;Previous autologous HSCT, yes ;%;N;6;;;;Table 1;
CART_009;CART_009_1;6.5;Time since diagnosis;y;median;12;;1.8;11.8;Text;
CART_009;CART_009_2;6.5;Time since diagnosis;y;median;12;;1.8;11.8;Text;
CART_009;CART_009_1;6;Bridging therapy, yes;N;N;6;;;;Text;
CART_009;CART_009_2;6;Bridging therapy, yes;N;N;6;;;;Text;
