geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId
hsa00240	Pyrimidine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00240+10201+10621+10623+11128+115024+1635+1723+1841+1890+221830+23649+25885+30834+4830+4833+51082+5167+54107+5422+5424+5425+5426+5427+5431+5432+5433+5434+5435+5436+5437+5438+5439+5440+54963+5557+56474+6241+64425+661+7083+7372+790+79077+84618+87178+9533+955+957	99	48	30.803956834532375	1.558241373270275	2.0627001568462866e-4	0.006075589552892699	10201;10621;10623;11128;115024;1635;1723;1841;1890;221830;23649;25885;30834;4830;4833;51082;5167;54107;5422;5424;5425;5426;5427;5431;5432;5433;5434;5435;5436;5437;5438;5439;5440;54963;5557;56474;6241;64425;661;7083;7372;790;79077;84618;87178;9533;955;957
hsa03010	Ribosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03010+10573+11222+11224+140801+200916+2197+28998+29074+29088+4736+51021+51069+51073+51116+51121+51263+51373+54948+55173+6122+6128+6129+6132+6133+6135+6136+6143+6146+6147+6150+6152+6155+6156+6159+6161+6164+6167+6170+6171+6175+6183+6188+6191+6193+6201+6203+6204+6205+6209+6217+6218+6222+6223+6227+6229+6230+6233+63875+64928+64979+64983+65003+65005+7311+79590+9553+9801	149	67	46.36151079136691	1.4451642937502422	2.3048762139032952e-4	0.006223165777538897	10573;11222;11224;140801;200916;2197;28998;29074;29088;4736;51021;51069;51073;51116;51121;51263;51373;54948;55173;6122;6128;6129;6132;6133;6135;6136;6143;6146;6147;6150;6152;6155;6156;6159;6161;6164;6167;6170;6171;6175;6183;6188;6191;6193;6201;6203;6204;6205;6209;6217;6218;6222;6223;6227;6229;6230;6233;63875;64928;64979;64983;65003;65005;7311;79590;9553;9801
hsa05230	Central carbon metabolism in cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05230+1956+2064+207+208+2263+2475+2539+27165+3098+3265+3815+3939+4233+4609+5159+5161+5211+5213+5214+5223+5293+5296+5315+5594+5604+5605+57103+5728+5894+6510+6513+80201+8140+8503	65	34	20.22482014388489	1.6811027123165851	2.880347130410632e-4	0.007178711309638806	1956;2064;207;208;2263;2475;2539;27165;3098;3265;3815;3939;4233;4609;5159;5161;5211;5213;5214;5223;5293;5296;5315;5594;5604;5605;57103;5728;5894;6510;6513;80201;8140;8503
hsa01521	EGFR tyrosine kinase inhibitor resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01521+1956+1978+2064+207+208+2247+2263+2475+2885+3265+3479+3570+3716+4233+5159+5293+5296+5335+5336+5578+5582+5594+5604+5605+5728+581+5894+596+598+6198+6199+6464+6654+6714+673+6774+7422+80310+8503	78	39	24.269784172661872	1.606936416184971	3.6106670599478363e-4	0.008356115195879279	1956;1978;2064;207;208;2247;2263;2475;2885;3265;3479;3570;3716;4233;5159;5293;5296;5335;5336;5578;5582;5594;5604;5605;5728;581;5894;596;598;6198;6199;6464;6654;6714;673;6774;7422;80310;8503
hsa03040	Spliceosome	http://www.kegg.jp/kegg-bin/show_pathway?hsa03040+10084+10189+10262+10285+10291+10465+10523+10713+10946+10992+11157+11338+151903+1665+22827+22916+23450+23658+24148+25804+27258+27339+3190+4686+5093+51340+51645+51690+51691+51729+55110+56259+56949+57187+57461+57819+6100+6426+6434+6626+6628+6629+6631+6632+6633+6634+6635+6636+6637+8175+83443+8449+84844+8896+9128+9129+9416+9775+9785+9879	133	60	41.38309352517986	1.4498674431744099	4.3210095449786046e-4	0.00891423554607429	10084;10189;10262;10285;10291;10465;10523;10713;10946;10992;11157;11338;151903;1665;22827;22916;23450;23658;24148;25804;27258;27339;3190;4686;5093;51340;51645;51690;51691;51729;55110;56259;56949;57187;57461;57819;6100;6426;6434;6626;6628;6629;6631;6632;6633;6634;6635;6636;6637;8175;83443;8449;84844;8896;9128;9129;9416;9775;9785;9879
hsa03013	RNA transport	http://www.kegg.jp/kegg-bin/show_pathway?hsa03013+10073+10189+10209+10248+10419+10460+10557+10605+10799+10921+10940+11097+11218+11260+129401+138716+1964+1967+1974+1978+1981+22916+23165+23225+23636+25929+26986+29107+348995+3646+3837+387082+4686+4928+5042+50628+54913+54960+55110+55706+57122+57187+57510+5901+5905+5976+60528+6396+65110+7329+7514+79023+79228+79833+79902+80336+8086+8480+8487+8662+8664+8666+8667+8668+8669+8890+8891+8892+8894+9631+9688+9775+9883	168	73	52.27338129496403	1.3965042664464629	4.402091627691007e-4	0.00891423554607429	10073;10189;10209;10248;10419;10460;10557;10605;10799;10921;10940;11097;11218;11260;129401;138716;1964;1967;1974;1978;1981;22916;23165;23225;23636;25929;26986;29107;348995;3646;3837;387082;4686;4928;5042;50628;54913;54960;55110;55706;57122;57187;57510;5901;5905;5976;60528;6396;65110;7329;7514;79023;79228;79833;79902;80336;8086;8480;8487;8662;8664;8666;8667;8668;8669;8890;8891;8892;8894;9631;9688;9775;9883
hsa04666	Fc gamma R-mediated phagocytosis	http://www.kegg.jp/kegg-bin/show_pathway?hsa04666+10094+10095+1072+1073+1399+1794+207+208+2209+274+3635+3636+3984+3985+4067+5058+50807+5293+5296+5335+5336+5338+5578+5580+5582+5594+5604+5879+5894+6198+6199+65108+7409+7410+81873+8503+85477+8611+8612+8613+8877+9846+998	89	43	27.692446043165468	1.5527700201337922	4.7725091846939627e-4	0.009095841034357906	10094;10095;1072;1073;1399;1794;207;208;2209;274;3635;3636;3984;3985;4067;5058;50807;5293;5296;5335;5336;5338;5578;5580;5582;5594;5604;5879;5894;6198;6199;65108;7409;7410;81873;8503;85477;8611;8612;8613;8877;9846;998
hsa04722	Neurotrophin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04722+10603+11108+1399+1432+163688+207+208+25+2885+3265+3551+356+3654+3656+3725+4145+4214+4215+468+4793+4794+51135+5293+5296+5335+5336+5580+5594+5598+5599+5601+5603+5604+5605+5781+581+5879+5894+5906+596+6195+6196+6197+627+6464+6654+673+815+817+8503+8767+9261+9500+998	118	54	36.7158273381295	1.4707553639659057	5.37096842440965e-4	0.00966774316393737	10603;11108;1399;1432;163688;207;208;25;2885;3265;3551;356;3654;3656;3725;4145;4214;4215;468;4793;4794;51135;5293;5296;5335;5336;5580;5594;5598;5599;5601;5603;5604;5605;5781;581;5879;5894;5906;596;6195;6196;6197;627;6464;6654;673;815;817;8503;8767;9261;9500;998
hsa05221	Acute myeloid leukemia	http://www.kegg.jp/kegg-bin/show_pathway?hsa05221+1053+1437+1978+207+208+2209+2475+2885+3265+3551+3728+3815+4609+51176+5293+5296+5371+5594+5604+5605+5894+595+6198+6199+6654+673+6774+6776+6777+6932+7704+8503+8517	65	33	20.22482014388489	1.6316585148955092	7.097642974878138e-4	0.012103349072950088	1053;1437;1978;207;208;2209;2475;2885;3265;3551;3728;3815;4609;51176;5293;5296;5371;5594;5604;5605;5894;595;6198;6199;6654;673;6774;6776;6777;6932;7704;8503;8517
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	http://www.kegg.jp/kegg-bin/show_pathway?hsa05120+10312+10392+127124+1432+1445+155066+1956+245973+28964+2919+3551+3577+3725+4067+4233+5058+525+528+533+5335+5336+537+5599+5601+5603+5781+5803+58494+5879+6352+6714+8517+90423+998	68	34	21.158273381294965	1.606936416184971	8.440564734368827e-4	0.012679097614957719	10312;10392;127124;1432;1445;155066;1956;245973;28964;2919;3551;3577;3725;4067;4233;5058;525;528;533;5335;5336;537;5599;5601;5603;5781;5803;58494;5879;6352;6714;8517;90423;998
hsa05224	Breast cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05224+1019+1855+1856+1869+1871+1956+2064+207+208+2247+2248+2251+2252+2254+2475+2535+26281+26508+2885+3265+3479+3714+3725+3815+4041+4609+4791+4851+4854+51176+51426+5293+5296+5594+5604+5605+5728+581+5894+595+6198+6199+6464+6654+6667+672+673+675+6932+7472+7474+7476+7478+7482+7976+8202+8312+8313+8323+8326+8503+8817+8823	144	63	44.805755395683455	1.4060693641618496	8.533777233770135e-4	0.012679097614957719	1019;1855;1856;1869;1871;1956;2064;207;208;2247;2248;2251;2252;2254;2475;2535;26281;26508;2885;3265;3479;3714;3725;3815;4041;4609;4791;4851;4854;51176;51426;5293;5296;5594;5604;5605;5728;581;5894;595;6198;6199;6464;6654;6667;672;673;675;6932;7472;7474;7476;7478;7482;7976;8202;8312;8313;8323;8326;8503;8817;8823
hsa00051	Fructose and mannose metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00051+197258+226+230+26007+2762+29926+3098+3795+5210+5211+5213+5214+5373+57016+57103+6652+7167+7264+80201	32	19	9.956834532374101	1.908236994219653	8.609263812625612e-4	0.012679097614957719	197258;226;230;26007;2762;29926;3098;3795;5210;5211;5213;5214;5373;57016;57103;6652;7167;7264;80201
hsa00970	Aminoacyl-tRNA biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?hsa00970+123263+124454+16+1615+2193+23395+23438+25973+2617+3376+3735+51067+54938+55157+55699+57176+57505+5917+6301+6897+7407+79731+8565+92935	44	24	13.69064748201439	1.7530215449290592	0.0010220038689380262	0.014396924066779152	123263;124454;16;1615;2193;23395;23438;25973;2617;3376;3735;51067;54938;55157;55699;57176;57505;5917;6301;6897;7407;79731;8565;92935
hsa03460	Fanconi anemia pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa03460+116028+201254+2177+2178+2187+2188+2189+22909+29089+29935+353497+51426+545+55120+55215+5888+6118+6119+641+672+675+79728+80010+80198+83990+8940+91442+9894	54	28	16.802158273381295	1.6664525797473775	0.001158850017271229	0.015644475233161592	116028;201254;2177;2178;2187;2188;2189;22909;29089;29935;353497;51426;545;55120;55215;5888;6118;6119;641;672;675;79728;80010;80198;83990;8940;91442;9894
hsa00030	Pentose phosphate pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa00030+132158+221823+226+22934+230+2539+25796+2821+5211+5213+5214+55276+5631+6888+7086+84076+9563	29	17	9.023381294964029	1.8839944189754834	0.001955400948416841	0.02534199629148226	132158;221823;226;22934;230;2539;25796;2821;5211;5213;5214;55276;5631;6888;7086;84076;9563
hsa04360	Axon guidance	http://www.kegg.jp/kegg-bin/show_pathway?hsa04360+1020+10298+10505+10507+1072+1073+137970+1944+1945+1947+1949+2041+2045+2048+2049+2050+2051+2242+23654+25+2770+29984+3265+3984+3985+4233+4690+4917+5058+50855+5293+5296+5335+5336+5361+5362+5364+5365+54434+54910+5534+55558+55740+5578+5590+5594+56896+56924+5747+57556+5781+5879+5894+5921+6387+6469+655+6608+6714+7474+7976+80031+815+817+8440+84448+8482+8503+90249+9353+9423+998	174	72	54.14028776978417	1.3298784133944588	0.0024123046464156195	0.029656293013503365	1020;10298;10505;10507;1072;1073;137970;1944;1945;1947;1949;2041;2045;2048;2049;2050;2051;2242;23654;25;2770;29984;3265;3984;3985;4233;4690;4917;5058;50855;5293;5296;5335;5336;5361;5362;5364;5365;54434;54910;5534;55558;55740;5578;5590;5594;56896;56924;5747;57556;5781;5879;5894;5921;6387;6469;655;6608;6714;7474;7976;80031;815;817;8440;84448;8482;8503;90249;9353;9423;998
hsa01522	Endocrine resistance	http://www.kegg.jp/kegg-bin/show_pathway?hsa01522+1019+1029+109+1432+1565+1869+1871+1956+2064+207+208+2475+2885+3265+3479+3714+3725+4851+4854+5293+5296+5469+5566+5594+5599+5601+5603+5604+5605+5747+581+5894+595+596+6198+6199+6464+6654+6667+6714+673+8202+8503	95	43	29.559352517985612	1.454700334651658	0.0024713577511252804	0.029656293013503365	1019;1029;109;1432;1565;1869;1871;1956;2064;207;208;2475;2885;3265;3479;3714;3725;4851;4854;5293;5296;5469;5566;5594;5599;5601;5603;5604;5605;5747;581;5894;595;596;6198;6199;6464;6654;6667;6714;673;8202;8503
hsa05214	Glioma	http://www.kegg.jp/kegg-bin/show_pathway?hsa05214+1019+1029+163688+1869+1871+1956+207+208+2475+2885+3265+3479+51426+5159+5293+5296+5335+5336+5578+5582+5594+5604+5605+5728+581+5894+595+6464+6654+673+815+817+8503	69	33	21.469424460431654	1.5370696154812769	0.0025808011596852864	0.029863556276358314	1019;1029;163688;1869;1871;1956;207;208;2475;2885;3265;3479;51426;5159;5293;5296;5335;5336;5578;5582;5594;5604;5605;5728;581;5894;595;6464;6654;673;815;817;8503
hsa03008	Ribosome biogenesis in eukaryotes	http://www.kegg.jp/kegg-bin/show_pathway?hsa03008+10199+10248+10436+10557+10607+10799+10813+10885+10940+138716+1457+1459+1460+2091+22803+23160+23560+27341+28987+29102+29107+29889+3692+51096+51602+54433+54913+55127+55131+55226+55341+55505+55651+5901+6949+7514+81691+83732+84128+84135+84916+92856+9790	96	43	29.8705035971223	1.4395472061657033	0.003152021239124836	0.03404182938254823	10199;10248;10436;10557;10607;10799;10813;10885;10940;138716;1457;1459;1460;2091;22803;23160;23560;27341;28987;29102;29107;29889;3692;51096;51602;54433;54913;55127;55131;55226;55341;55505;55651;5901;6949;7514;81691;83732;84128;84135;84916;92856;9790
hsa04066	HIF-1 signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04066+1956+1978+2023+2056+2064+207+208+226+2475+2597+285+3098+3479+3570+3939+4846+4878+5161+5211+5230+5293+5296+5335+5336+5578+5582+5594+5604+5605+596+6198+6199+6513+6774+6921+6923+7076+7422+80201+815+817+8503+9978	96	43	29.8705035971223	1.4395472061657033	0.003152021239124836	0.03404182938254823	1956;1978;2023;2056;2064;207;208;226;2475;2597;285;3098;3479;3570;3939;4846;4878;5161;5211;5230;5293;5296;5335;5336;5578;5582;5594;5604;5605;596;6198;6199;6513;6774;6921;6923;7076;7422;80201;815;817;8503;9978
hsa00230	Purine metabolism	http://www.kegg.jp/kegg-bin/show_pathway?hsa00230+100+10201+10606+10621+10623+109+11128+11164+115024+132+158+221823+221830+23649+25885+2618+270+271+272+30834+353+3614+3615+3704+471+4830+4833+51082+5136+5138+5139+5144+5152+5167+5198+5315+54107+5422+5424+5425+5426+5427+5431+5432+5433+5434+5435+5436+5437+5438+5439+5440+5471+55276+5557+55821+5631+6241+64425+661+84618+8654+87178+8833+9060+9061+9533+954+955+957	171	70	53.2068345323741	1.315620457695298	0.003783641386207681	0.03896804941308964	100;10201;10606;10621;10623;109;11128;11164;115024;132;158;221823;221830;23649;25885;2618;270;271;272;30834;353;3614;3615;3704;471;4830;4833;51082;5136;5138;5139;5144;5152;5167;5198;5315;54107;5422;5424;5425;5426;5427;5431;5432;5433;5434;5435;5436;5437;5438;5439;5440;5471;55276;5557;55821;5631;6241;64425;661;84618;8654;87178;8833;9060;9061;9533;954;955;957
hsa05220	Chronic myeloid leukemia	http://www.kegg.jp/kegg-bin/show_pathway?hsa05220+1019+1029+1399+1869+1871+207+208+25+2885+3065+3066+3265+3551+4609+51426+5293+5296+5594+5604+5605+5781+581+5894+595+598+6464+6654+673+6776+6777+8503+8517+867+9846	73	34	22.714028776978417	1.49687227809011	0.0038486962383298406	0.03896804941308964	1019;1029;1399;1869;1871;207;208;25;2885;3065;3066;3265;3551;4609;51426;5293;5296;5594;5604;5605;5781;581;5894;595;598;6464;6654;673;6776;6777;8503;8517;867;9846
hsa05210	Colorectal cancer	http://www.kegg.jp/kegg-bin/show_pathway?hsa05210+1956+207+208+2475+2885+2956+3265+332+3725+4436+4609+51176+51426+5293+5296+5366+5594+5599+5601+5604+5605+581+5879+5894+5898+5899+5900+595+596+6198+6199+6654+673+6932+8312+8313+8503	81	37	25.203237410071942	1.4680653678726896	0.003970419955552584	0.03898230501815265	1956;207;208;2475;2885;2956;3265;332;3725;4436;4609;51176;51426;5293;5296;5366;5594;5599;5601;5604;5605;581;5879;5894;5898;5899;5900;595;596;6198;6199;6654;673;6932;8312;8313;8503
