Species Scientific Name	Gene Title	Gene Symbol	ENTREZ_GENE_ID
Homo sapiens	ZSCAN16 antisense RNA 1	ZSCAN16-AS1	100129195
Homo sapiens	MATN1 antisense RNA 1	MATN1-AS1	100129196
Homo sapiens	TOPORS antisense RNA 1	TOPORS-AS1	100129250
Homo sapiens	chromosome 1 open reading frame 68	C1orf68	100129271
Homo sapiens	chromosome X open reading frame 69-like	LOC100129361	100129361
Homo sapiens	GABPB1 antisense RNA 1	GABPB1-AS1	100129387
Homo sapiens	DDC antisense RNA 1	DDC-AS1	100129427
Homo sapiens	uncharacterized LOC100129455	LOC100129455	100129455
Homo sapiens	DPY19L1 pseudogene 1	DPY19L1P1	100129460
Homo sapiens	uncharacterized LOC285778	LOC285778	285778
Homo sapiens	"zinc finger protein 37B, pseudogene"	ZNF37BP	100129482
Homo sapiens	uncharacterized LOC100129503	PP13	100129503
Homo sapiens	uncharacterized LOC100129516	LOC100129516	100129516
Homo sapiens	mucin 8	MUC8	100129528
Homo sapiens	uncharacterized LOC100129550	LOC100129550	100129550
Homo sapiens	"family with sequence similarity 47, member E"	FAM47E	100129583
Homo sapiens	long intergenic non-protein coding RNA 462	LINC00462	100129597
Homo sapiens	uncharacterized LOC100129603	LOC100129603	100129603
Homo sapiens	uncharacterized LOC100129620	LOC100129620	100129620
Homo sapiens	transcription factor 24	TCF24	100129654
Homo sapiens	FGF13 antisense RNA 1	FGF13-AS1	100129662
Homo sapiens	ARRDC3 antisense RNA 1	ARRDC3-AS1	100129716
Homo sapiens	uncharacterized LOC100129722	LOC100129722	100129722
Homo sapiens	long intergenic non-protein coding RNA 1126	LINC01126	100129726
Homo sapiens	coiled-coil domain containing 152	CCDC152	100129792
Homo sapiens	SLC25A21 antisense RNA 1	SLC25A21-AS1	100129794
Homo sapiens	MRVI1 antisense RNA 1	MRVI1-AS1	100129827
Homo sapiens	PCOLCE antisense RNA 1	PCOLCE-AS1	100129845
Homo sapiens	SCOC antisense RNA 1	SCOC-AS1	100129858
Homo sapiens	uncharacterized LOC100129917	LOC100129917	100129917
Homo sapiens	"lectin, galactoside-binding, soluble, 14 pseudogene"	LOC100129935	100129935
Homo sapiens	CCNT2 antisense RNA 1	CCNT2-AS1	100129961
Homo sapiens	uncharacterized LOC100129973	LOC100129973	100129973
Homo sapiens	histone deacetylase 6	HDAC6	10013
Homo sapiens	uncharacterized LOC100130111	LOC100130111	100130111
Homo sapiens	MIR124-2 host gene (non-protein coding)	MIR124-2HG	100130155
Homo sapiens	uncharacterized LOC100130249	PP2672	100130249
Homo sapiens	uncharacterized LOC100130264	LOC100130264	100130264
Homo sapiens	uncharacterized LOC101928157	LOC101928157	101928157
Homo sapiens	TFAP2A antisense RNA 1	TFAP2A-AS1	100130275
Homo sapiens	"POTE ankyrin domain family, member F pseudogene"	LOC100130331	100130331
Homo sapiens	uncharacterized LOC100130357	LOC100130357	100130357
Homo sapiens	uncharacterized LOC100130370	LOC100130370	100130370
Homo sapiens	uncharacterized LOC100130417	LOC100130417	100130417
Homo sapiens	"cat eye syndrome chromosome region, candidate 7 (non-protein coding)"	CECR7	100130418
Homo sapiens	uncharacterized LOC100130449	PP14571	100130449
Homo sapiens	uncharacterized LOC100130452	LOC100130452	100130452
Homo sapiens	uncharacterized LOC100130460	CAND1.11	100130460
Homo sapiens	uncharacterized LOC100130476	LOC100130476	100130476
Homo sapiens	transmembrane protein 221	TMEM221	100130519
Homo sapiens	/// PARD6G antisense RNA 1	AC139100.2 /// PARD6G-AS1	100130522
Homo sapiens	uncharacterized LOC100130548	LOC100130548	100130548
Homo sapiens	NFYC antisense RNA 1	NFYC-AS1	100130557
Homo sapiens	long intergenic non-protein coding RNA 910	LINC00910	100130581
Homo sapiens	proline rich 32	PRR32	100130613
Homo sapiens	uncharacterized LOC100130691	LOC100130691	100130691
Homo sapiens	uncharacterized LOC100130700	LOC100130700	100130700
Homo sapiens	uncharacterized LOC100130705	LOC100130705	100130705
Homo sapiens	CECR5 antisense RNA 1	CECR5-AS1	100130717
Homo sapiens	leucine rich repeat containing 69	LRRC69	100130742
Homo sapiens	uncharacterized LOC100130744	LOC100130744	100130744
Homo sapiens	AGAP2 antisense RNA 1	AGAP2-AS1	100130776
Homo sapiens	USP3 antisense RNA 1	USP3-AS1	100130855
Homo sapiens	uncharacterized LOC100130872	LOC100130872	100130872
Homo sapiens	psoriasis susceptibility 1 candidate 3 (non-protein coding)	PSORS1C3	100130889
Homo sapiens	VAC14 antisense RNA 1	VAC14-AS1	100130894
Homo sapiens	small integral membrane protein 6	SMIM6	100130933
Homo sapiens	"zinc finger protein 663, pseudogene"	ZNF663P	100130934
Homo sapiens	uncharacterized LOC100130950	LOC100130950	100130950
Homo sapiens	synaptonemal complex central element protein 1-like	SYCE1L	100130958
Homo sapiens	ADAM metallopeptidase domain 3A-like	LOC100130964	100130964
Homo sapiens	chromosome 6 open reading frame 99	C6orf99	100130967
Homo sapiens	uncharacterized LOC100130987	LOC100130987	100130987
Homo sapiens	uncharacterized LOC100130992	LOC100130992	100130992
Homo sapiens	zinc finger protein 316	ZNF316	100131017
Homo sapiens	CKMT2 antisense RNA 1	CKMT2-AS1	100131067
Homo sapiens	TNRC6C antisense RNA 1	TNRC6C-AS1	100131096
Homo sapiens	ZBTB20 antisense RNA 1	ZBTB20-AS1	100131117
Homo sapiens	long intergenic non-protein coding RNA 1405	LINC01405	100131138
Homo sapiens	WDR86 antisense RNA 1	WDR86-AS1	100131176
Homo sapiens	thiosulfate sulfurtransferase (rhodanese)-like domain containing 1	TSTD1	100131187
Homo sapiens	transmembrane protein 194B	TMEM194B	100131211
Homo sapiens	ZNF503 antisense RNA 2	ZNF503-AS2	100131213
Homo sapiens	uncharacterized LOC100131303	LOC100131303	100131303
Homo sapiens	RAD52 motif containing 1 pseudogene	LOC100131347	100131347
Homo sapiens	long intergenic non-protein coding RNA 605	LINC00605	100131366
Homo sapiens	long intergenic non-protein coding RNA 893	LINC00893	100131434
Homo sapiens	"diazepam binding inhibitor-like 5, pseudogene"	DBIL5P	100131454
Homo sapiens	uncharacterized LOC100131496	LOC100131496	100131496
Homo sapiens	uncharacterized LOC100131532	LOC100131532	100131532
Homo sapiens	long intergenic non-protein coding RNA 887	LINC00887	100131551
Homo sapiens	FKSG29	FKSG29	100131561
Homo sapiens	uncharacterized LOC100131564	LOC100131564	100131564
Homo sapiens	uncharacterized LOC100131655	LOC100131655	100131655
Homo sapiens	uncharacterized LOC100131691	LOC100131691	100131691
Homo sapiens	USP30 antisense RNA 1	USP30-AS1	100131733
Homo sapiens	"armadillo repeat containing, X-linked 4"	ARMCX4	100131755
Homo sapiens	PET100 homolog (S. cerevisiae)	PET100	100131801
Homo sapiens	long intergenic non-protein coding RNA 271	LINC00271	100131814
Homo sapiens	ubiquitin-conjugating enzyme E2D N-terminal like (pseudogene)	UBE2DNL	100131816
Homo sapiens	CADM3 antisense RNA 1	CADM3-AS1	100131825
Homo sapiens	zinc finger protein 717	ZNF717	100131827
Homo sapiens	zinc finger protein 705G	ZNF705G	100131980
Homo sapiens	RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene 3	RRN3P3	100131998
Homo sapiens	phosphodiesterase 4D interacting protein pseudogene	LOC100132057	100132057
Homo sapiens	forkhead box O6	FOXO6	100132074
Homo sapiens	uncharacterized LOC100132077	LOC100132077	100132077
Homo sapiens	uncharacterized LOC100132078	LOC100132078	100132078
Homo sapiens	hect domain and RLD 2 pseudogene 7	HERC2P7	100132101
Homo sapiens	ACTA2 antisense RNA 1	ACTA2-AS1	100132116
Homo sapiens	WASH and IL9R antisense RNA 1 ///  /// WASH and IL9R antisense RNA 2 ///	WASIR1 /// WASIR1 /// WASIR2 /// WASIR2	100132169
Homo sapiens	long intergenic non-protein coding RNA 543 ///	LINC00543 /// LINC00543	100132234
Homo sapiens	"killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2"	KIR2DS2	100132285
Homo sapiens	clustered mitochondria (cluA/CLU1) homolog pseudogene 3	CLUHP3	100132341
Homo sapiens	FSHD region gene 1 pseudogene	LOC100132352	100132352
Homo sapiens	uncharacterized LOC100132354	LOC100132354	100132354
Homo sapiens	uncharacterized LOC100132356	LOC100132356	100132356
Homo sapiens	keratin associated protein 4-9	KRTAP4-9	100132386
Homo sapiens	"family with sequence similarity 99, member B (non-protein coding)"	FAM99B	100132464
Homo sapiens	keratin associated protein 4-7	KRTAP4-7	100132476
Homo sapiens	BSN antisense RNA 2 (head to head)	BSN-AS2	100132677
Homo sapiens	uncharacterized LOC100132686	LOC100132686	100132686
Homo sapiens	PAXIP1 opposite strand	PAXIP1OS	100132707
Homo sapiens	"cytochrome P450, family 4, subfamily F, polypeptide 30, pseudogene"	CYP4F30P	100132708
Homo sapiens	uncharacterized LOC100132735	LOC100132735	100132735
Homo sapiens	importin 5 pseudogene 1	IPO5P1	100132815
Homo sapiens	uncharacterized LOC100132891	LOC100132891	100132891
Homo sapiens	diphthamide biosynthesis 3 pseudogene 1	DPH3P1	100132911
Homo sapiens	"family with sequence similarity 66, member D"	FAM66D	100132923
Homo sapiens	long intergenic non-protein coding RNA 856	LINC00856	100132987
Homo sapiens	ADIRF antisense RNA 1	ADIRF-AS1	100133190
Homo sapiens	long intergenic non-protein coding RNA 240	LINC00240	100133205
Homo sapiens	Ras suppressor protein 1 pseudogene 2	RSU1P2	100133308
Homo sapiens	"transient receptor potential cation channel, subfamily C, member 2-like"	LOC100133315	100133315
Homo sapiens	uncharacterized LOC100133319	PRO1804	100133319
Homo sapiens	uncharacterized LOC100133461	LOC100133461	100133461
Homo sapiens	long intergenic non-protein coding RNA 1134	LINC01134	100133612
Homo sapiens	uncharacterized LOC100133669	LOC100133669	100133669
Homo sapiens	uncharacterized LOC100133920	LOC100133920	100133920
Homo sapiens	CD24 molecule	CD24	100133941
Homo sapiens	uncharacterized LOC100133985	LOC100133985	100133985
Homo sapiens	MAP3K14 antisense RNA 1	MAP3K14-AS1	100133991
Homo sapiens	uncharacterized LOC100134040	LOC100134040	100134040
Homo sapiens	JHDM1D antisense RNA 1 (head to head)	JHDM1D-AS1	100134229
Homo sapiens	long intergenic non-protein coding RNA 1119	LINC01119	100134259
Homo sapiens	uncharacterized LOC100134368	LOC100134368	100134368
Homo sapiens	NDUFB2 antisense RNA 1	NDUFB2-AS1	100134713
Homo sapiens	histone deacetylase 5	HDAC5	10014
Homo sapiens	chromosome 17 open reading frame 99	C17orf99	100141515
Homo sapiens	long intergenic non-protein coding RNA 29	LINC00029	100144596
Homo sapiens	long intergenic non-protein coding RNA 1056	LINC01056	100144597
Homo sapiens	EPHA5 antisense RNA 1	EPHA5-AS1	100144602
Homo sapiens	CHKB antisense RNA 1 (head to head)	CHKB-AS1	100144603
Homo sapiens	long intergenic non-protein coding RNA 930	LINC00930	100144604
Homo sapiens	"killin, p53-regulated DNA replication inhibitor"	KLLN	100144748
Homo sapiens	uncharacterized LOC100147773	LOC100147773	100147773
Homo sapiens	programmed cell death 6 interacting protein	PDCD6IP	10015
Homo sapiens	programmed cell death 6	PDCD6	10016
Homo sapiens	TEX36 antisense RNA 1	TEX36-AS1	100169752
Homo sapiens	PEG3 antisense RNA 1	PEG3-AS1	100169890
Homo sapiens	diazepam binding inhibitor-like 5 pseudogene 2	DBIL5P2	100169989
Homo sapiens	BCL2-like 10 (apoptosis facilitator)	BCL2L10	10017
Homo sapiens	serine/arginine repetitive matrix 5	SRRM5	100170229
Homo sapiens	glutamate-rich 4	ERICH4	100170765
Homo sapiens	chromosome 17 open reading frame 96	C17orf96	100170841
Homo sapiens	BCL2-like 11 (apoptosis facilitator)	BCL2L11	10018
Homo sapiens	long intergenic non-protein coding RNA 92	LINC00092	100188953
Homo sapiens	DCTN1 antisense RNA 1	DCTN1-AS1	100189589
Homo sapiens	SH2B adaptor protein 3	SH2B3	10019
Homo sapiens	RAMP2 antisense RNA 1	RAMP2-AS1	100190938
Homo sapiens	TPT1 antisense RNA 1	TPT1-AS1	100190939
Homo sapiens	uncharacterized LOC100190986	LOC100190986	100190986
Homo sapiens	ZFHX4 antisense RNA 1	ZFHX4-AS1	100192378
Homo sapiens	uncharacterized LOC100192379	PP12613	100192379
Homo sapiens	uncharacterized LOC100192386	FLJ16779	100192386
Homo sapiens	"cadherin 4, type 1, R-cadherin (retinal)"	CDH4	1002
Homo sapiens	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	GNE	10020
Homo sapiens	hyperpolarization activated cyclic nucleotide-gated potassium channel 4	HCN4	10021
Homo sapiens	KMT2E antisense RNA 1 (head to head)	KMT2E-AS1	100216545
Homo sapiens	long intergenic non-protein coding RNA 1004	LINC01004	100216546
Homo sapiens	insulin-like 5	INSL5	10022
Homo sapiens	frequently rearranged in advanced T-cell lymphomas 1	FRAT1	10023
Homo sapiens	PCED1B antisense RNA 1	PCED1B-AS1	100233209
Homo sapiens	trophinin associated protein	TROAP	10024
Homo sapiens	uncharacterized LOC100240728	LOC100240728	100240728
Homo sapiens	uncharacterized LOC100240734	LOC100240734	100240734
Homo sapiens	mediator complex subunit 16	MED16	10025
Homo sapiens	"phosphatidylinositol glycan anchor biosynthesis, class K"	PIGK	10026
Homo sapiens	uncharacterized LOC100268168	LOC100268168	100268168
Homo sapiens	long intergenic non-protein coding RNA 1432	LINC01432	100270679
Homo sapiens	cancer susceptibility candidate 11 (non-protein coding)	CASC11	100270680
Homo sapiens	uncharacterized LOC100270804	LOC100270804	100270804
Homo sapiens	Rho guanine nucleotide exchange factor (GEF) 33	ARHGEF33	100271715
Homo sapiens	long intergenic non-protein coding RNA 899	LINC00899	100271722
Homo sapiens	C-x(9)-C motif containing 4	CMC4	100272147
Homo sapiens	uncharacterized LOC100272217	LOC100272217	100272217
Homo sapiens	long intergenic non-protein coding RNA 894	LINC00894	100272228
Homo sapiens	BCDIN3D antisense RNA 1	BCDIN3D-AS1	100286844
Homo sapiens	"DnaJ (Hsp40) homolog, subfamily B, member 3 pseudogene"	LOC100286922	100286922
Homo sapiens	uncharacterized LOC100286925	LOC100286925	100286925
Homo sapiens	VPS13A antisense RNA 1	VPS13A-AS1	100286938
Homo sapiens	uncharacterized LOC100287015	LOC100287015	100287015
Homo sapiens	uncharacterized LOC100287098	LOC100287098	100287098
Homo sapiens	long intergenic non-protein coding RNA 421	LINC00421	100287114
Homo sapiens	chromosome 19 open reading frame 83	C19orf83	100287177
Homo sapiens	SH3RF3 antisense RNA 1	SH3RF3-AS1	100287216
Homo sapiens	TIPARP antisense RNA 1	TIPARP-AS1	100287227
Homo sapiens	cytokine receptor CRL2	LOC100287290	100287290
Homo sapiens	OSTM1 antisense RNA 1	OSTM1-AS1	100287366
Homo sapiens	uncharacterized LOC100287387	LOC100287387	100287387
Homo sapiens	small lysine-rich protein 1	SMKR1	100287482
Homo sapiens	uncharacterized LOC100287497	LOC100287497	100287497
Homo sapiens	long intergenic non-protein coding RNA 173	LINC00173	100287569
Homo sapiens	LOXL1 antisense RNA 1	LOXL1-AS1	100287616
Homo sapiens	uncharacterized LOC100287704	LOC100287704	100287704
Homo sapiens	long intergenic non-protein coding RNA 630	LINC00630	100287765
Homo sapiens	long intergenic non-protein coding RNA 582	LINC00582	100287814
Homo sapiens	uncharacterized LOC100287896	LOC100287896	100287896
Homo sapiens	LGALS8 antisense RNA 1	LGALS8-AS1	100287902
Homo sapiens	translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23	100287932
Homo sapiens	microtubule-associated protein 1 light chain 3 beta pseudogene	GS1-279B7.1	100288079
Homo sapiens	LDLRAD4 antisense RNA 1	LDLRAD4-AS1	100288122
Homo sapiens	uncharacterized LOC100288123	LOC100288123	100288123
Homo sapiens	"neuroblastoma breakpoint family, member 20"	NBPF20	100288142
Homo sapiens	uncharacterized LOC100288152	LOC100288152	100288152
Homo sapiens	uncharacterized LOC100288175	LOC100288175	100288175
Homo sapiens	HMGN3 antisense RNA 1	HMGN3-AS1	100288198
Homo sapiens	"endogenous retrovirus group MER34, member 1"	ERVMER34-1	100288413
Homo sapiens	IL10RB antisense RNA 1 (head to head)	IL10RB-AS1	100288432
Homo sapiens	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) pseudogene	LOC100288570	100288570
Homo sapiens	PAN3 antisense RNA 1	PAN3-AS1	100288730
Homo sapiens	transmembrane protein 239	TMEM239	100288797
Homo sapiens	uncharacterized LOC100288798	LOC100288798	100288798
Homo sapiens	uncharacterized LOC100288911	LOC100288911	100288911
Homo sapiens	POTE ankyrin domain family member D-like	LOC100288966	100288966
Homo sapiens	uncharacterized LOC100289019	LOC100289019	100289019
Homo sapiens	uncharacterized LOC100289061	LOC100289061	100289061
Homo sapiens	uncharacterized LOC100289092	LOC100289092	100289092
Homo sapiens	uncharacterized LOC100289098	LOC100289098	100289098
Homo sapiens	transmembrane protein 225-like	GS1-259H13.2	100289187
Homo sapiens	long intergenic non-protein coding RNA 624	LINC00624	100289211
Homo sapiens	uncharacterized LOC100289230	LOC100289230	100289230
Homo sapiens	long intergenic non-protein coding RNA 675	LINC00675	100289255
Homo sapiens	DNAJC3 antisense RNA 1 (head to head)	DNAJC3-AS1	100289274
Homo sapiens	uncharacterized LOC100289333	LOC100289333	100289333
Homo sapiens	MAN1B1 antisense RNA 1 (head to head)	MAN1B1-AS1	100289341
Homo sapiens	uncharacterized LOC100289361	LOC100289361	100289361
Homo sapiens	UBAC2 antisense RNA 1	UBAC2-AS1	100289373
Homo sapiens	MCF2L antisense RNA 1	MCF2L-AS1	100289410
Homo sapiens	cytoskeleton associated protein 2-like pseudogene	LOC100289473	100289473
Homo sapiens	uncharacterized LOC100289495	LOC100289495	100289495
Homo sapiens	KCNIP2 antisense RNA 1	KCNIP2-AS1	100289509
Homo sapiens	zinc finger protein 605	ZNF605	100289635
Homo sapiens	"endogenous retrovirus group H, member 3"	ERVH-3	100289683
Homo sapiens	long intergenic non-protein coding RNA 942	LINC00942	100292680
Homo sapiens	zinc finger protein 587B	ZNF587B	100293516
Homo sapiens	uncharacterized LOC100294145	LOC100294145	100294145
Homo sapiens	uncharacterized LOC100294362	LOC100294362	100294362
Homo sapiens	neuroblastoma highly expressed 1	NHEG1	100294720
Homo sapiens	"cadherin 5, type 2 (vascular endothelium)"	CDH5	1003
Homo sapiens	papillary thyroid carcinoma susceptibility candidate 1 (non-protein coding)	PTCSC1	100302522
Homo sapiens	long intergenic non-protein coding RNA 882	LINC00882	100302640
Homo sapiens	BRE antisense RNA 1	BRE-AS1	100302650
Homo sapiens	long intergenic non-protein coding RNA 184	LINC00184	100302691
Homo sapiens	"FTX transcript, XIST regulator (non-protein coding)"	FTX	100302692
Homo sapiens	SLC25A5 antisense RNA 1	SLC25A5-AS1	100303728
Homo sapiens	PET117 homolog (S. cerevisiae)	PET117	100303755
Homo sapiens	PITPNA antisense RNA 1	PITPNA-AS1	100306951
Homo sapiens	OTX2 antisense RNA 1 (head to head)	OTX2-AS1	100309464
Homo sapiens	uncharacterized LOC100310756	LOC100310756	100310756
Homo sapiens	HOXA distal transcript antisense RNA	HOTTIP	100316868
Homo sapiens	TRPC5 opposite strand	TRPC5OS	100329135
Homo sapiens	long intergenic non-protein coding RNA 102	LINC00102	100359394
Homo sapiens	"chromatin assembly factor 1, subunit A (p150)"	CHAF1A	10036
Homo sapiens	MACROD2 antisense RNA 1	MACROD2-AS1	100379174
Homo sapiens	"Homo sapiens primary neuroblastoma cDNA, clone:Nbla10527, full insert sequence. /// MIR181A2 host gene (non-protein coding)"	AB074162 /// MIR181A2HG	100379345
Homo sapiens	GRIK1 antisense RNA 2	GRIK1-AS2	100379661
Homo sapiens	poly (ADP-ribose) polymerase 2	PARP2	10038
Homo sapiens	"zinc finger, BED-type containing 6"	ZBED6	100381270
Homo sapiens	"poly (ADP-ribose) polymerase family, member 3"	PARP3	10039
Homo sapiens	"cadherin 6, type 2, K-cadherin (fetal kidney)"	CDH6	1004
Homo sapiens	target of myb1 (chicken)-like 1	TOM1L1	10040
Homo sapiens	HMG box domain containing 4	HMGXB4	10042
Homo sapiens	"eukaryotic translation initiation factor 3, subunit J pseudogene"	LOC100422212	100422212
Homo sapiens	uncharacterized LOC100422737	LOC100422737	100422737
Homo sapiens	uncharacterized LOC100422781	LOC100422781	100422781
Homo sapiens	microRNA 1244-3	MIR1244-3	100422872
Homo sapiens	microRNA 4313	MIR4313	100423035
Homo sapiens	microRNA 4296	MIR4296	100423041
Homo sapiens	target of myb1 (chicken)	TOM1	10043
Homo sapiens	SH2 domain containing 3C	SH2D3C	10044
Homo sapiens	SH2 domain containing 3A	SH2D3A	10045
Homo sapiens	mastermind-like domain containing 1	MAMLD1	10046
Homo sapiens	mitochondrial inner membrane organizing system 1 pseudogene 1	MINOS1P1	100462953
Homo sapiens	cystatin 8 (cystatin-related epididymal specific)	CST8	10047
Homo sapiens	RAN binding protein 9	RANBP9	10048
Homo sapiens	"DnaJ (Hsp40) homolog, subfamily B, member 6"	DNAJB6	10049
Homo sapiens	long intergenic non-protein coding RNA 881	LINC00881	100498859
Homo sapiens	long intergenic non-protein coding RNA 276	LINC00276	100499171
Homo sapiens	THAP9 antisense RNA 1	THAP9-AS1	100499177
Homo sapiens	uncharacterized LOC100499194	LOC100499194	100499194
Homo sapiens	USP2 antisense RNA 1 (head to head)	USP2-AS1	100499227
Homo sapiens	long intergenic non-protein coding RNA 674	LINC00674	100499466
Homo sapiens	long intergenic non-protein coding RNA 673	LINC00673	100499467
Homo sapiens	uncharacterized LOC100499489	LOC100499489	100499489
Homo sapiens	"cadherin 7, type 2"	CDH7	1005
Homo sapiens	"solute carrier family 17, member 4"	SLC17A4	10050
Homo sapiens	microRNA 3916	MIR3916	100500849
Homo sapiens	microRNA 3682	MIR3682	100500850
Homo sapiens	uncharacterized LOC100505474	LOC100505474	100505474
Homo sapiens	uncharacterized LOC100505478	LOC100505478	100505478
Homo sapiens	PRKAG2 antisense RNA 1	PRKAG2-AS1	100505483
Homo sapiens	ANKRD10 intronic transcript 1 (non-protein coding)	ANKRD10-IT1	100505494
Homo sapiens	prostate cancer associated transcript 19 (non-protein coding)	PCAT19	100505495
Homo sapiens	uncharacterized LOC100505498	LOC100505498	100505498
