From	To	Species	Gene Name
BDCR	948775	Escherichia coli str. K-12 substr. MG1655	putative transcriptional regulator BdcR(bdcR)
UGPQ	947955	Escherichia coli str. K-12 substr. MG1655	glycerophosphodiester phosphodiesterase UgpQ(ugpQ)
YHFU	947892	Escherichia coli str. K-12 substr. MG1655	DUF2620 domain-containing protein YhfU(yhfU)
YTFI	948738	Escherichia coli str. K-12 substr. MG1655	protein YtfI(ytfI)
BLC	948670	Escherichia coli str. K-12 substr. MG1655	outer membrane lipoprotein Blc(blc)
YHFG	947871	Escherichia coli str. K-12 substr. MG1655	DUF2559 domain-containing protein YhfG(yhfG)
ILVL	948283	Escherichia coli str. K-12 substr. MG1655	ilvXGMEDA operon leader peptide(ilvL)
LIGB	948164	Escherichia coli str. K-12 substr. MG1655	DNA ligase B(ligB)
TNAB	948220	Escherichia coli str. K-12 substr. MG1655	tryptophan:H(+) symporter TnaB(tnaB)
YHFK	947866	Escherichia coli str. K-12 substr. MG1655	putative transporter YhfK(yhfK)
MALT	947921	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional activator MalT(malT)
CADC	948653	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional activator CadC(cadC)
CADA	948643	Escherichia coli str. K-12 substr. MG1655	lysine decarboxylase 1(cadA)
OMPR	947913	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator OmpR(ompR)
PROP	948626	Escherichia coli str. K-12 substr. MG1655	osmolyte:H(+) symporter ProP(proP)
BCSE	948050	Escherichia coli str. K-12 substr. MG1655	c-di-GMP-binding protein BcsE(bcsE)
ARSR	948013	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional repressor ArsR(arsR)
WAAO	948143	Escherichia coli str. K-12 substr. MG1655	UDP-D-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase(waaO)
YICL	948176	Escherichia coli str. K-12 substr. MG1655	putative transporter YicL(yicL)
ASD	947939	Escherichia coli str. K-12 substr. MG1655	aspartate-semialdehyde dehydrogenase(asd)
MIOC	948249	Escherichia coli str. K-12 substr. MG1655	flavoprotein MioC(mioC)
YICR	948968	Escherichia coli str. K-12 substr. MG1655	RadC-like JAB domain-containing protein YicR(yicR)
YHAC	947557	Escherichia coli str. K-12 substr. MG1655	uncharacterized protein YhaC(yhaC)
WAAG	948149	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide glucosyltransferase I(waaG)
WAAH	948140	Escherichia coli str. K-12 substr. MG1655	UDP-glucuronate:LPS(HepIII) glycosyltransferase(waaH)
YHIM	947997	Escherichia coli str. K-12 substr. MG1655	inner membrane protein YhiM(yhiM)
HSRA	948265	Escherichia coli str. K-12 substr. MG1655	putative transporter HsrA(hsrA)
WAAL	948148	Escherichia coli str. K-12 substr. MG1655	O-antigen ligase(waaL)
YJEH	948656	Escherichia coli str. K-12 substr. MG1655	L-methionine/branched chain amino acid exporter(yjeH)
DPPA	948062	Escherichia coli str. K-12 substr. MG1655	dipeptide ABC transporter periplasmic binding protein(dppA)
ARSB	948011	Escherichia coli str. K-12 substr. MG1655	arsenite/antimonite:H(+) antiporter(arsB)
YJEJ	948663	Escherichia coli str. K-12 substr. MG1655	protein YjeJ(yjeJ)
YICI	948169	Escherichia coli str. K-12 substr. MG1655	alpha-D-xyloside xylohydrolase(yicI)
HTRL	948137	Escherichia coli str. K-12 substr. MG1655	protein HtrL(htrL)
BGLB	948234	Escherichia coli str. K-12 substr. MG1655	6-phospho-beta-glucosidase B(bglB)
YHHH	947993	Escherichia coli str. K-12 substr. MG1655	PF15631 family protein YhhH(yhhH)
YJCS	948597	Escherichia coli str. K-12 substr. MG1655	linear primary-alkylsulfatase(yjcS)
YIAV	948106	Escherichia coli str. K-12 substr. MG1655	putative membrane fusion protein YiaV(yiaV)
XYLR	948086	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator XylR(xylR)
DAM	947893	Escherichia coli str. K-12 substr. MG1655	DNA adenine methyltransferase(dam)
FRLR	947885	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional regulator FrlR(frlR)
YIBL	948115	Escherichia coli str. K-12 substr. MG1655	DUF2810 domain-containing protein YibL(yibL)
GGT	947947	Escherichia coli str. K-12 substr. MG1655	glutathione hydrolase proenzyme(ggt)
YHHX	947944	Escherichia coli str. K-12 substr. MG1655	putative oxidoreductase YhhX(yhhX)
SSPA	944744	Escherichia coli str. K-12 substr. MG1655	stringent starvation protein A(sspA)
EPTB	948068	Escherichia coli str. K-12 substr. MG1655	phosphoethanolamine transferase EptB(eptB)
ASNA	948258	Escherichia coli str. K-12 substr. MG1655	asparagine synthetase A(asnA)
FUSA	947847	Escherichia coli str. K-12 substr. MG1655	elongation factor G(fusA)
YIBG	948111	Escherichia coli str. K-12 substr. MG1655	tetratricopeptide-like domain-containing protein YibG(yibG)
NHAA	944758	Escherichia coli str. K-12 substr. MG1655	Na(+):H(+) antiporter NhaA(nhaA)
DGOD	2847765	Escherichia coli str. K-12 substr. MG1655	D-galactonate dehydratase(dgoD)
YHBX	947711	Escherichia coli str. K-12 substr. MG1655	putative hydrolase YhbX(yhbX)
ADIY	948627	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional activator AdiY(adiY)
YIDX	948202	Escherichia coli str. K-12 substr. MG1655	putative lipoprotein YidX(yidX)
YIDZ	948227	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator YidZ(yidZ)
YJGN	948784	Escherichia coli str. K-12 substr. MG1655	inner membrane protein YjgN(yjgN)
NANQ	947750	Escherichia coli str. K-12 substr. MG1655	N-acetylneuraminate anomerase(nanQ)
FTSY	947978	Escherichia coli str. K-12 substr. MG1655	signal recognition particle receptor(ftsY)
YHCD	947738	Escherichia coli str. K-12 substr. MG1655	putative fimbrial usher protein YhcD(yhcD)
NANX	948807	Escherichia coli str. K-12 substr. MG1655	sialic acid transporter NanX(nanX)
YIEH	948232	Escherichia coli str. K-12 substr. MG1655	6-phosphogluconate phosphatase(yieH)
YHCF	947735	Escherichia coli str. K-12 substr. MG1655	DUF1120 domain-containing protein YhcF(yhcF)
RIBE	946453	Escherichia coli str. K-12 substr. MG1655	6,7-dimethyl-8-ribityllumazine synthase(ribE)
BOLA	947043	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator BolA(bolA)
BGLH	948228	Escherichia coli str. K-12 substr. MG1655	carbohydrate-specific outer membrane porin, cryptic(bglH)
YJGL	948776	Escherichia coli str. K-12 substr. MG1655	protein YjgL(yjgL)
YIEK	948229	Escherichia coli str. K-12 substr. MG1655	putative glucosamine-6-phosphate deaminase YieK(yieK)
GLGC	947942	Escherichia coli str. K-12 substr. MG1655	glucose-1-phosphate adenylyltransferase(glgC)
YHJD	948033	Escherichia coli str. K-12 substr. MG1655	putative transporter YhjD(yhjD)
GLGB	947940	Escherichia coli str. K-12 substr. MG1655	1,4-alpha-glucan branching enzyme(glgB)
ALSB	948604	Escherichia coli str. K-12 substr. MG1655	D-allose ABC transporter periplasmic binding protein(alsB)
YHJG	948043	Escherichia coli str. K-12 substr. MG1655	AsmA family protein YhjG(yhjG)
YICS	1450300	Escherichia coli str. K-12 substr. MG1655	uncharacterized protein YicS(yicS)
WAAY	948145	Escherichia coli str. K-12 substr. MG1655	lipopolysaccharide core heptose (II) kinase(waaY)
YADC	944837	Escherichia coli str. K-12 substr. MG1655	fimbrial tip-adhesin YadC(yadC)
GUAC	948986	Escherichia coli str. K-12 substr. MG1655	GMP reductase(guaC)
YADV	944859	Escherichia coli str. K-12 substr. MG1655	putative fimbrial chaperone YadV(yadV)
YGHT	947477	Escherichia coli str. K-12 substr. MG1655	putative ATP-binding protein YghT(yghT)
YIDP	948194	Escherichia coli str. K-12 substr. MG1655	putative DNA-binding transcriptional regulator YidP(yidP)
RHOL	948288	Escherichia coli str. K-12 substr. MG1655	rho operon leader peptide(rhoL)
DGOT	948196	Escherichia coli str. K-12 substr. MG1655	D-galactonate:H(+) symporter(dgoT)
YHJY	948073	Escherichia coli str. K-12 substr. MG1655	putative outer membrane protein YhjY(yhjY)
GLPD	947934	Escherichia coli str. K-12 substr. MG1655	aerobic glycerol 3-phosphate dehydrogenase(glpD)
YIDE	948193	Escherichia coli str. K-12 substr. MG1655	putative transport protein YidE(yidE)
YHBE	947699	Escherichia coli str. K-12 substr. MG1655	putative transporter YhbE(yhbE)
YJFI	948704	Escherichia coli str. K-12 substr. MG1655	DUF2170 domain-containing protein YjfI(yjfI)
YJFL	948701	Escherichia coli str. K-12 substr. MG1655	DUF350 domain-containing inner membrane protein YjfL(yjfL)
CSRC	2847776	Escherichia coli str. K-12 substr. MG1655	ncRNA(csrC)
RSMD	947977	Escherichia coli str. K-12 substr. MG1655	16S rRNA m(2)G966 methyltransferase(rsmD)
GNTK	947937	Escherichia coli str. K-12 substr. MG1655	D-gluconate kinase, thermostable(gntK)
GSPK	947831	Escherichia coli str. K-12 substr. MG1655	Type II secretion system protein GspK(gspK)
BISC	946915	Escherichia coli str. K-12 substr. MG1655	biotin sulfoxide reductase(bisC)
GSPL	947842	Escherichia coli str. K-12 substr. MG1655	Type II secretion system protein GspL(gspL)
GADW	948029	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator GadW(gadW)
CBRC	948230	Escherichia coli str. K-12 substr. MG1655	PF03691 family colicin E2 tolerance protein CbrC(cbrC)
CBRB	948231	Escherichia coli str. K-12 substr. MG1655	putative inner membrane protein(cbrB)
CBRA	948197	Escherichia coli str. K-12 substr. MG1655	colicin M resistance protein(cbrA)
LIVK	947964	Escherichia coli str. K-12 substr. MG1655	L-leucine/L-phenylalanine ABC transporter periplasmic binding protein(livK)
AROK	2847759	Escherichia coli str. K-12 substr. MG1655	shikimate kinase 1(aroK)
TDH	948139	Escherichia coli str. K-12 substr. MG1655	threonine dehydrogenase(tdh)
PRLC	948016	Escherichia coli str. K-12 substr. MG1655	oligopeptidase A(prlC)
MNME	948222	Escherichia coli str. K-12 substr. MG1655	5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit(mnmE)
IBAG	947958	Escherichia coli str. K-12 substr. MG1655	acid stress protein IbaG(ibaG)
YBHJ	945380	Escherichia coli str. K-12 substr. MG1655	putative hydratase YbhJ(ybhJ)
LEUC	945076	Escherichia coli str. K-12 substr. MG1655	3-isopropylmalate dehydratase subunit LeuC(leuC)
TAMA	948733	Escherichia coli str. K-12 substr. MG1655	translocation and assembly module subunit TamA(tamA)
IBPB	948192	Escherichia coli str. K-12 substr. MG1655	small heat shock protein IbpB(ibpB)
HDFR	2847698	Escherichia coli str. K-12 substr. MG1655	DNA-binding transcriptional dual regulator HdfR(hdfR)
GSPA	947825	Escherichia coli str. K-12 substr. MG1655	Type II secretion system protein GspA(gspA)
GSPC	947824	Escherichia coli str. K-12 substr. MG1655	Type II secretion system protein GspC(gspC)
